mean_ndvi,ndvi_trend,ndvi_variance,avg_temperature_c,total_rainfall_mm,crop_health_label
0.43,-0.027,0.036,30.9,14.6,HIGH_STRESS
0.7,0.0155,0.0058,22.5,110.9,HEALTHY
0.55,-0.002,0.0201,28.8,34.9,MODERATE_STRESS
0.39,-0.035,0.0405,32.0,12.2,HIGH_STRESS
0.66,0.0098,0.0102,24.8,94.3,HEALTHY
0.51,-0.011,0.0235,29.3,31.2,MODERATE_STRESS
0.31,-0.049,0.0488,34.1,3.0,HIGH_STRESS
0.78,0.024,0.001,19.2,149.5,HEALTHY
0.6,0.0045,0.0135,26.5,57.6,MODERATE_STRESS
0.44,-0.029,0.0375,31.8,16.3,HIGH_STRESS
0.69,0.0125,0.007,25.7,101.8,HEALTHY
0.53,-0.007,0.0189,29.0,36.7,MODERATE_STRESS
0.4,-0.033,0.0398,31.6,17.8,HIGH_STRESS
0.64,0.0105,0.0085,26.2,70.5,HEALTHY
0.47,-0.019,0.027,30.7,22.4,MODERATE_STRESS
0.35,-0.04,0.0445,32.9,9.1,HIGH_STRESS
0.73,0.0205,0.0015,20.9,139.1,HEALTHY
0.56,0.0005,0.016,27.6,40.0,MODERATE_STRESS
0.42,-0.032,0.041,31.4,20.1,HIGH_STRESS
0.67,0.0135,0.0062,24.5,125.3,HEALTHY
0.5,-0.016,0.025,30.1,23.3,MODERATE_STRESS
0.36,-0.041,0.0465,33.6,8.0,HIGH_STRESS
0.8,0.025,0.0011,18.5,147.2,HEALTHY
0.61,0.006,0.012,25.1,63.4,MODERATE_STRESS
0.46,-0.023,0.032,30.6,19.5,HIGH_STRESS
0.71,0.0175,0.004,22.3,132.7,HEALTHY
0.54,-0.004,0.0198,28.4,39.2,MODERATE_STRESS
0.38,-0.037,0.0428,32.4,11.3,HIGH_STRESS
0.65,0.0088,0.0118,25.8,79.5,HEALTHY
0.52,-0.009,0.0225,29.5,28.6,MODERATE_STRESS
0.32,-0.045,0.0478,33.8,7.5,HIGH_STRESS
0.75,0.0225,0.0009,20.2,143.6,HEALTHY
0.58,0.002,0.015,27.3,46.0,MODERATE_STRESS
0.45,-0.026,0.034,30.5,13.8,HIGH_STRESS
0.62,0.012,0.0082,24.9,87.1,HEALTHY
0.48,-0.0185,0.0248,30.4,21.7,MODERATE_STRESS
0.34,-0.043,0.045,32.6,10.0,HIGH_STRESS
0.77,0.0195,0.0022,21.3,137.4,HEALTHY
0.59,0.003,0.0145,27.7,44.5,MODERATE_STRESS
0.41,-0.03,0.038,31.1,15.2,HIGH_STRESS
0.66,0.011,0.0095,25.4,96.7,HEALTHY
0.51,-0.0125,0.0215,29.8,26.1,MODERATE_STRESS
0.29,-0.0485,0.0492,34.4,2.5,HIGH_STRESS
0.79,0.026,0.0008,18.9,146.0,HEALTHY
0.6,0.0055,0.013,26.8,60.2,MODERATE_STRESS
0.47,-0.021,0.029,31.0,18.2,HIGH_STRESS
0.7,0.0165,0.0045,22.8,120.5,HEALTHY
0.55,-0.0012,0.0205,28.7,33.0,MODERATE_STRESS
0.4,-0.0345,0.0402,32.3,14.1,HIGH_STRESS
0.64,0.0092,0.0122,26.1,73.8,HEALTHY
0.49,-0.0155,0.0232,30.2,24.6,MODERATE_STRESS
0.33,-0.0425,0.0462,33.4,6.4,HIGH_STRESS
0.74,0.0215,0.0013,20.6,142.0,HEALTHY
0.57,0.0008,0.0165,27.5,41.3,MODERATE_STRESS
0.43,-0.0285,0.0365,31.9,17.0,HIGH_STRESS
0.68,0.014,0.0055,23.9,108.2,HEALTHY
0.53,-0.0085,0.0195,29.2,35.8,MODERATE_STRESS
0.37,-0.0395,0.0432,32.8,8.7,HIGH_STRESS
0.63,0.0108,0.0072,25.6,82.0,HEALTHY
0.5,-0.0175,0.0242,30.5,22.9,MODERATE_STRESS
0.35,-0.0415,0.0458,33.1,9.5,HIGH_STRESS
0.76,0.0235,0.0007,19.5,144.3,HEALTHY
0.61,0.0048,0.0128,26.0,55.9,MODERATE_STRESS
0.46,-0.024,0.033,30.7,16.8,HIGH_STRESS
0.69,0.0152,0.0042,23.4,114.1,HEALTHY
0.54,-0.0055,0.021,28.9,37.4,MODERATE_STRESS
0.39,-0.0365,0.0418,32.1,13.0,HIGH_STRESS
0.65,0.0085,0.0132,26.4,76.5,HEALTHY
0.52,-0.01,0.0222,29.6,30.0,MODERATE_STRESS
0.31,-0.0475,0.0485,34.2,4.1,HIGH_STRESS
0.72,0.0185,0.0032,22.0,127.6,HEALTHY
0.58,0.0015,0.0172,27.9,47.2,MODERATE_STRESS
0.42,-0.0315,0.0395,31.7,19.4,HIGH_STRESS
0.67,0.0128,0.0068,24.7,98.9,HEALTHY
0.51,-0.0135,0.023,30.3,25.8,MODERATE_STRESS
0.36,-0.04,0.0442,32.5,11.7,HIGH_STRESS
0.81,0.027,0.0006,18.2,148.1,HEALTHY
0.62,0.0065,0.011,24.6,69.0,MODERATE_STRESS
0.48,-0.0225,0.031,30.9,20.3,HIGH_STRESS
0.7,0.017,0.0038,23.1,122.9,HEALTHY
0.56,-0.0025,0.0208,28.5,32.3,MODERATE_STRESS
0.4,-0.0355,0.0392,32.6,15.6,HIGH_STRESS
0.64,0.0095,0.0112,26.6,71.7,HEALTHY
0.5,-0.019,0.0255,30.8,21.2,MODERATE_STRESS
0.34,-0.0445,0.0468,33.7,7.8,HIGH_STRESS
0.73,0.0208,0.0016,20.4,140.7,HEALTHY
0.59,0.0022,0.0158,27.1,42.7,MODERATE_STRESS
0.44,-0.0295,0.037,31.2,14.3,HIGH_STRESS
0.68,0.0132,0.0058,24.2,104.5,HEALTHY
0.53,-0.0075,0.0202,29.1,34.1,MODERATE_STRESS
0.38,-0.0385,0.0425,32.9,9.9,HIGH_STRESS
0.62,0.0112,0.0088,25.2,80.1,HEALTHY
0.49,-0.0165,0.0245,30.6,23.7,MODERATE_STRESS
0.32,-0.0465,0.0475,33.9,5.2,HIGH_STRESS
0.75,0.0222,0.0011,19.9,145.4,HEALTHY
0.6,0.0038,0.0148,27.4,49.0,MODERATE_STRESS
0.45,-0.0275,0.0355,31.5,12.0,HIGH_STRESS
0.66,0.0102,0.0098,25.9,90.2,HEALTHY
0.51,-0.0145,0.0228,30.4,27.9,MODERATE_STRESS
0.33,-0.0435,0.046,33.2,8.5,HIGH_STRESS
0.78,0.0255,0.0005,18.7,149.1,HEALTHY
0.61,0.0052,0.0132,26.3,58.7,MODERATE_STRESS
0.47,-0.0235,0.0325,30.5,17.4,HIGH_STRESS
0.71,0.018,0.0028,22.2,129.8,HEALTHY
0.57,-0.0005,0.0182,28.0,38.0,MODERATE_STRESS
0.41,-0.0325,0.0385,31.8,18.7,HIGH_STRESS
0.65,0.009,0.0128,26.5,74.2,HEALTHY
0.52,-0.0115,0.0218,29.7,29.5,MODERATE_STRESS
0.35,-0.042,0.0452,33.0,10.8,HIGH_STRESS
0.74,0.0212,0.0014,20.7,141.5,HEALTHY
0.58,0.0002,0.0178,28.2,40.9,MODERATE_STRESS
0.43,-0.028,0.0368,31.6,16.1,HIGH_STRESS
0.67,0.0122,0.0075,24.4,112.8,HEALTHY
0.53,-0.0095,0.0205,29.3,31.7,MODERATE_STRESS
0.37,-0.039,0.0422,32.3,13.9,HIGH_STRESS
0.63,0.010,0.0105,25.7,78.4,HEALTHY
0.5,-0.018,0.0248,30.7,24.1,MODERATE_STRESS
0.3,-0.048,0.048,34.5,3.3,HIGH_STRESS
0.79,0.0265,0.0004,18.4,147.6,HEALTHY
0.62,0.0062,0.0115,25.0,65.1,MODERATE_STRESS
0.48,-0.0215,0.0302,31.1,19.8,HIGH_STRESS
0.69,0.016,0.0035,23.6,117.3,HEALTHY
0.55,-0.0018,0.0202,28.6,33.6,MODERATE_STRESS
0.4,-0.035,0.0395,32.7,15.0,HIGH_STRESS
0.64,0.008,0.014,27.0,68.9,HEALTHY
0.51,-0.015,0.0238,30.9,26.4,MODERATE_STRESS
0.34,-0.0455,0.047,33.8,9.3,HIGH_STRESS
0.73,0.0198,0.002,21.0,138.2,HEALTHY
0.59,0.0018,0.0162,27.8,45.8,MODERATE_STRESS
0.44,-0.03,0.0378,31.9,17.7,HIGH_STRESS
0.66,0.0118,0.0065,24.8,106.0,HEALTHY
0.52,-0.012,0.022,29.8,28.1,MODERATE_STRESS
0.36,-0.0412,0.0448,32.4,12.6,HIGH_STRESS
0.8,0.0245,0.0003,19.0,148.5,HEALTHY
0.63,0.0058,0.0125,25.5,61.3,MODERATE_STRESS
0.49,-0.022,0.0315,31.4,20.9,HIGH_STRESS
0.7,0.0172,0.003,22.5,124.1,HEALTHY
0.56,-0.003,0.0212,28.3,30.2,MODERATE_STRESS
0.41,-0.0335,0.0388,32.0,18.0,HIGH_STRESS
0.65,0.0075,0.015,27.2,67.4,HEALTHY
0.53,-0.0105,0.0212,30.0,32.8,MODERATE_STRESS
0.35,-0.0438,0.0455,33.5,11.2,HIGH_STRESS
0.74,0.0202,0.0017,20.1,142.9,HEALTHY
0.6,0.0005,0.0185,28.1,39.4,MODERATE_STRESS
0.45,-0.0265,0.0345,31.3,13.2,HIGH_STRESS
0.68,0.0125,0.005,24.0,119.6,HEALTHY
0.54,-0.0065,0.022,29.5,36.0,MODERATE_STRESS
0.38,-0.0375,0.0415,32.2,14.8,HIGH_STRESS
0.62,0.0098,0.009,25.3,83.3,HEALTHY
0.5,-0.0195,0.0252,30.8,22.6,MODERATE_STRESS
0.32,-0.0468,0.0472,33.6,6.7,HIGH_STRESS
0.77,0.0238,0.0006,19.3,146.7,HEALTHY
0.61,0.0032,0.0155,27.6,44.0,MODERATE_STRESS
0.46,-0.0255,0.0335,30.6,15.4,HIGH_STRESS
0.69,0.0148,0.0025,22.9,131.0,HEALTHY
0.57,-0.0022,0.0195,28.8,34.5,MODERATE_STRESS
0.39,-0.036,0.0408,32.5,16.5,HIGH_STRESS
0.64,0.0068,0.016,27.5,64.7,HEALTHY
0.52,-0.0138,0.0225,30.2,31.1,MODERATE_STRESS
0.33,-0.0442,0.0465,33.3,10.3,HIGH_STRESS
0.72,0.0192,0.0022,21.6,136.3,HEALTHY
0.58,-0.0002,0.019,28.5,37.0,MODERATE_STRESS
0.42,-0.031,0.0372,31.7,19.0,HIGH_STRESS
0.66,0.0108,0.0048,24.3,127.9,HEALTHY
0.53,-0.0118,0.0215,30.1,29.8,MODERATE_STRESS
0.37,-0.0405,0.0435,32.9,12.9,HIGH_STRESS
0.82,0.028,0.0002,18.0,149.8,HEALTHY
0.62,0.0042,0.014,25.8,56.5,MODERATE_STRESS
0.48,-0.0245,0.0328,31.3,21.5,HIGH_STRESS
0.7,0.0158,0.0018,23.3,134.4,HEALTHY
0.55,-0.0045,0.0225,29.0,35.1,MODERATE_STRESS
0.4,-0.0342,0.0382,32.4,17.2,HIGH_STRESS
0.63,0.0055,0.017,27.8,62.0,HEALTHY
0.51,-0.0168,0.0232,30.5,30.3,MODERATE_STRESS
0.31,-0.0472,0.0478,34.0,7.0,HIGH_STRESS
0.75,0.0218,0.0008,20.3,144.8,HEALTHY
0.59,0.0008,0.0175,28.4,38.8,MODERATE_STRESS
0.43,-0.029,0.0358,31.5,14.5,HIGH_STRESS
0.67,0.0092,0.0135,26.8,85.6,HEALTHY
0.54,-0.0078,0.0228,29.9,32.0,MODERATE_STRESS
0.38,-0.038,0.0402,32.6,15.9,HIGH_STRESS
0.61,0.0072,0.0102,26.1,97.3,HEALTHY
0.5,-0.0202,0.024,31.0,23.9,MODERATE_STRESS
0.34,-0.0452,0.0445,33.4,11.5,HIGH_STRESS
0.76,0.0242,0.0004,19.6,147.9,HEALTHY
0.6,0.0028,0.0152,27.7,47.5,MODERATE_STRESS
0.45,-0.027,0.0328,30.8,13.6,HIGH_STRESS
0.68,0.0115,0.0052,24.6,123.1,HEALTHY
0.56,-0.0052,0.023,29.2,33.9,MODERATE_STRESS
0.39,-0.0352,0.0398,32.3,18.3,HIGH_STRESS
0.63,0.0045,0.018,28.2,59.3,HEALTHY
0.52,-0.0155,0.0222,30.7,31.4,MODERATE_STRESS
0.35,-0.0432,0.044,33.1,12.3,HIGH_STRESS
0.71,0.0188,0.001,22.1,139.9,HEALTHY
0.57,-0.0015,0.0208,28.7,36.4,MODERATE_STRESS
0.41,-0.0328,0.0365,31.9,20.0,HIGH_STRESS
0.64,0.0062,0.0145,27.3,72.0,HEALTHY
0.51,-0.0175,0.0235,30.4,28.8,MODERATE_STRESS
0.33,-0.0448,0.0458,33.7,10.1,HIGH_STRESS
0.73,0.0205,0.0009,20.8,143.1,HEALTHY
0.58,-0.0008,0.0188,28.0,41.6,MODERATE_STRESS
0.44,-0.03,0.0342,31.2,16.9,HIGH_STRESS
0.65,0.0082,0.012,26.9,99.5,HEALTHY
0.53,-0.0128,0.021,30.2,34.7,MODERATE_STRESS
0.37,-0.0408,0.0428,32.8,13.5,HIGH_STRESS
0.62,0.005,0.0165,27.0,88.0,HEALTHY
0.5,-0.021,0.0238,31.1,26.9,MODERATE_STRESS
0.32,-0.0462,0.0462,33.5,8.2,HIGH_STRESS
0.78,0.0252,0.0002,19.1,148.8,HEALTHY
0.61,0.0015,0.0168,28.3,43.1,MODERATE_STRESS
0.46,-0.026,0.0332,30.5,18.6,HIGH_STRESS
0.69,0.0138,0.0032,23.8,130.5,HEALTHY
0.55,-0.0058,0.0235,29.4,32.5,MODERATE_STRESS
0.4,-0.0338,0.0378,32.1,19.3,HIGH_STRESS
0.63,0.004,0.019,28.7,57.8,HEALTHY
0.52,-0.0162,0.0218,30.8,33.3,MODERATE_STRESS
0.36,-0.0428,0.0432,33.0,14.2,HIGH_STRESS
0.72,0.0195,0.0007,21.4,141.9,HEALTHY
0.57,-0.0028,0.022,29.1,35.5,MODERATE_STRESS
0.42,-0.0318,0.0355,31.6,21.2,HIGH_STRESS
0.64,0.0058,0.0138,27.5,76.9,HEALTHY
0.51,-0.0185,0.0228,30.6,30.6,MODERATE_STRESS
0.34,-0.0458,0.0448,33.9,9.7,HIGH_STRESS
0.74,0.021,0.0005,20.5,145.6,HEALTHY
0.58,-0.0012,0.0198,28.6,39.9,MODERATE_STRESS
0.43,-0.0298,0.0328,31.4,17.9,HIGH_STRESS
0.65,0.0072,0.0115,27.1,102.1,HEALTHY
0.53,-0.0142,0.0205,30.3,36.2,MODERATE_STRESS
0.38,-0.0398,0.0412,32.7,15.1,HIGH_STRESS
0.61,0.0035,0.0175,27.2,93.4,HEALTHY
0.5,-0.0225,0.0225,31.2,27.4,MODERATE_STRESS
0.3,-0.0478,0.0465,34.6,6.2,HIGH_STRESS
0.79,0.0262,0.0001,18.6,149.3,HEALTHY
0.62,0.0002,0.0182,28.8,42.0,MODERATE_STRESS
0.47,-0.025,0.0318,30.7,20.6,HIGH_STRESS
0.7,0.0142,0.0022,24.1,133.8,HEALTHY
0.56,-0.0065,0.024,29.7,31.8,MODERATE_STRESS
0.41,-0.0332,0.0362,32.0,20.7,HIGH_STRESS
0.62,0.0038,0.0182,28.0,60.5,HEALTHY
0.52,-0.0172,0.0212,30.9,34.0,MODERATE_STRESS
0.35,-0.0435,0.0425,33.2,13.8,HIGH_STRESS
0.73,0.0182,0.0008,21.9,140.4,HEALTHY
0.57,-0.0032,0.0228,29.5,34.8,MODERATE_STRESS
0.44,-0.0305,0.0335,31.8,19.1,HIGH_STRESS
0.64,0.0048,0.0142,27.8,79.8,HEALTHY
0.51,-0.0192,0.0215,31.0,31.9,MODERATE_STRESS
0.33,-0.0445,0.0435,33.6,11.9,HIGH_STRESS
0.75,0.022,0.0003,20.0,146.2,HEALTHY
0.58,-0.0018,0.0205,29.0,37.7,MODERATE_STRESS
0.45,-0.0282,0.032,31.0,16.4,HIGH_STRESS
0.66,0.0065,0.0105,27.3,109.7,HEALTHY
0.54,-0.0085,0.0192,30.4,38.3,MODERATE_STRESS
0.39,-0.0385,0.0395,32.9,14.7,HIGH_STRESS
0.6,0.0022,0.0162,27.4,100.0,HEALTHY
0.5,-0.0235,0.0218,31.5,28.2,MODERATE_STRESS
0.31,-0.047,0.0452,34.3,7.9,HIGH_STRESS
0.8,0.0275,0.0,18.3,149.9,HEALTHY
0.63,0.0,0.0195,29.2,40.5,MODERATE_STRESS
0.48,-0.0238,0.0305,30.8,22.1,HIGH_STRESS
0.71,0.0128,0.0015,24.5,138.1,HEALTHY
0.55,-0.0072,0.025,30.0,30.0,MODERATE_STRESS
0.4,-0.0322,0.0348,32.2,22.0,HIGH_STRESS
0.61,0.0025,0.019,28.5,63.7,HEALTHY
0.52,-0.0182,0.0202,31.1,35.7,MODERATE_STRESS
0.36,-0.0422,0.0418,33.4,15.4,HIGH_STRESS
0.74,0.0168,0.0006,22.6,142.7,HEALTHY
0.56,-0.0042,0.0238,29.8,36.1,MODERATE_STRESS
0.43,-0.0288,0.0318,31.7,20.4,HIGH_STRESS
0.63,0.0032,0.0158,28.2,86.2,HEALTHY
0.51,-0.02,0.0205,31.3,33.2,MODERATE_STRESS
0.34,-0.045,0.042,33.8,12.8,HIGH_STRESS
0.76,0.0232,0.0001,19.7,148.0,HEALTHY
0.59,-0.0005,0.0218,29.3,38.6,MODERATE_STRESS
0.46,-0.0272,0.031,30.9,17.5,HIGH_STRESS
0.67,0.0052,0.0092,27.6,116.3,HEALTHY
0.54,-0.0092,0.0185,30.7,39.8,MODERATE_STRESS
0.38,-0.0378,0.0382,32.5,17.1,HIGH_STRESS
0.59,0.0012,0.015,27.9,107.6,HEALTHY
0.5,-0.0245,0.0208,31.7,29.6,MODERATE_STRESS
0.32,-0.046,0.0438,34.1,9.0,HIGH_STRESS
0.81,0.0285,0.0,17.8,150.0,HEALTHY
0.64,-0.0015,0.0205,30.1,41.9,MODERATE_STRESS
0.49,-0.0228,0.0292,31.4,23.4,HIGH_STRESS
0.7,0.0112,0.0009,25.0,144.0,HEALTHY
0.55,-0.008,0.026,30.5,29.3,MODERATE_STRESS
0.41,-0.0312,0.0335,32.4,23.5,HIGH_STRESS
0.6,0.0018,0.0202,29.0,66.4,HEALTHY
0.52,-0.0195,0.0195,31.4,37.1,MODERATE_STRESS
0.35,-0.0418,0.0405,33.7,16.0,HIGH_STRESS
0.73,0.0155,0.0004,23.2,144.2,HEALTHY
0.57,-0.005,0.0245,30.2,35.0,MODERATE_STRESS
0.44,-0.0278,0.0305,31.9,21.8,HIGH_STRESS
0.62,0.0022,0.0145,28.7,92.8,HEALTHY
0.51,-0.0215,0.0198,31.6,34.5,MODERATE_STRESS
0.33,-0.0432,0.0408,34.0,14.0,HIGH_STRESS
0.77,0.0248,0.0,19.4,149.7,HEALTHY
0.58,-0.0015,0.0222,29.7,39.3,MODERATE_STRESS
0.45,-0.029,0.0295,31.1,18.8,HIGH_STRESS
0.66,0.0042,0.0082,28.0,123.5,HEALTHY
0.54,-0.01,0.0178,31.0,41.2,MODERATE_STRESS
0.39,-0.0368,0.037,32.8,18.6,HIGH_STRESS
0.58,0.0005,0.0135,28.3,114.9,HEALTHY
0.5,-0.0255,0.02,32.0,30.8,MODERATE_STRESS
0.31,-0.0465,0.0422,34.4,10.5,HIGH_STRESS
0.79,0.0278,0.0,18.1,150.0,HEALTHY
0.65,-0.0025,0.0215,30.8,43.4,MODERATE_STRESS
0.5,-0.0218,0.028,31.7,24.9,HIGH_STRESS
0.71,0.0095,0.0005,25.6,147.3,HEALTHY
0.56,-0.0088,0.027,31.1,28.0,MODERATE_STRESS
0.42,-0.0302,0.032,32.6,24.8,HIGH_STRESS
0.59,0.0002,0.021,29.5,69.8,HEALTHY
0.53,-0.0205,0.0185,31.8,38.4,MODERATE_STRESS
0.36,-0.0402,0.0392,33.9,17.5,HIGH_STRESS
0.72,0.014,0.0002,23.9,145.8,HEALTHY
0.58,-0.0062,0.0255,30.7,33.5,MODERATE_STRESS
0.43,-0.0268,0.0292,32.2,23.0,HIGH_STRESS
0.61,0.001,0.0132,29.2,99.5,HEALTHY
0.52,-0.0225,0.0182,32.0,35.8,MODERATE_STRESS
0.34,-0.0425,0.0395,34.2,15.8,HIGH_STRESS
0.75,0.0228,0.0,20.2,149.2,HEALTHY
0.59,-0.0022,0.023,30.0,40.7,MODERATE_STRESS
0.46,-0.0285,0.0282,31.5,20.1,HIGH_STRESS
0.65,0.003,0.007,28.5,130.2,HEALTHY
0.55,-0.0112,0.0165,31.3,42.7,MODERATE_STRESS
0.4,-0.0358,0.0355,33.0,20.2,HIGH_STRESS
0.57,-0.0002,0.012,28.8,121.7,HEALTHY
0.51,-0.0265,0.019,32.3,32.2,MODERATE_STRESS
0.32,-0.0455,0.041,34.6,11.8,HIGH_STRESS
0.8,0.029,0.0,17.5,150.0,HEALTHY
0.66,-0.0035,0.0225,31.5,44.9,MODERATE_STRESS
0.51,-0.0208,0.0268,32.0,26.3,HIGH_STRESS
0.7,0.008,0.0001,26.2,149.1,HEALTHY
0.57,-0.0095,0.028,31.6,26.5,MODERATE_STRESS
0.41,-0.0295,0.0305,32.8,25.9,HIGH_STRESS
0.58,-0.0012,0.022,30.0,73.1,HEALTHY
0.54,-0.0218,0.0172,32.2,39.7,MODERATE_STRESS
0.37,-0.0392,0.0378,34.1,18.9,HIGH_STRESS
0.71,0.0122,0.0001,24.8,146.4,HEALTHY
0.59,-0.0072,0.0265,31.2,32.1,MODERATE_STRESS
0.44,-0.0258,0.0275,32.5,24.3,HIGH_STRESS
0.6,-0.0005,0.012,29.7,106.0,HEALTHY
0.53,-0.0238,0.017,32.4,37.2,MODERATE_STRESS
0.35,-0.0415,0.038,34.4,17.2,HIGH_STRESS
0.74,0.0215,0.0,21.1,148.6,HEALTHY
0.6,-0.003,0.024,30.5,42.2,MODERATE_STRESS
0.47,-0.0292,0.0268,31.8,21.5,HIGH_STRESS
0.64,0.0015,0.0058,29.0,135.9,HEALTHY
0.56,-0.0125,0.015,31.7,44.1,MODERATE_STRESS
0.39,-0.0348,0.034,33.3,21.7,HIGH_STRESS
0.56,-0.0018,0.0105,29.3,128.5,HEALTHY
0.52,-0.0275,0.018,32.7,33.6,MODERATE_STRESS
0.33,-0.044,0.039,34.8,13.5,HIGH_STRESS
0.81,0.03,0.0,17.0,150.0,HEALTHY
0.67,-0.0045,0.0235,32.0,46.4,MODERATE_STRESS
0.52,-0.0198,0.0255,32.3,27.7,HIGH_STRESS
0.69,0.0065,0.0,26.8,150.0,HEALTHY
0.58,-0.0102,0.029,32.1,25.0,MODERATE_STRESS
0.42,-0.0285,0.029,33.0,27.2,HIGH_STRESS
0.57,-0.0025,0.023,30.5,76.4,HEALTHY
0.55,-0.0232,0.0158,32.6,41.0,MODERATE_STRESS
0.38,-0.0382,0.0365,34.3,20.4,HIGH_STRESS
0.7,0.0105,0.0,25.3,147.7,HEALTHY
0.6,-0.008,0.0275,31.7,30.7,MODERATE_STRESS
0.45,-0.0248,0.026,32.8,25.6,HIGH_STRESS
0.59,-0.0015,0.0108,30.2,112.3,HEALTHY
0.54,-0.025,0.0155,32.8,38.6,MODERATE_STRESS
0.36,-0.0405,0.0362,34.6,18.5,HIGH_STRESS
0.73,0.02,0.0,21.8,149.4,HEALTHY
0.61,-0.004,0.025,31.0,43.8,MODERATE_STRESS
0.48,-0.03,0.0255,32.2,22.8,HIGH_STRESS
0.63,0.0,0.0045,29.5,140.6,HEALTHY
0.57,-0.0138,0.0135,32.0,45.6,MODERATE_STRESS
0.4,-0.0335,0.0325,33.6,23.0,HIGH_STRESS
0.55,-0.0028,0.0092,29.8,135.2,HEALTHY
0.53,-0.0285,0.017,33.0,34.9,MODERATE_STRESS
0.34,-0.0428,0.0372,35.0,14.8,HIGH_STRESS
